value,start_s,end_s,peak,mean,n_samples,duration_s
296,11.9,11.9,47.0,47.0,1,0.02
298,11.94,11.94,197.0,197.0,1,0.02
300,12.32,12.32,1.0,1.0,1,0.02
302,12.38,12.38,223.0,223.0,1,0.02
304,12.42,12.42,297.0,297.0,1,0.02
306,12.46,12.46,467.0,467.0,1,0.02
308,12.5,12.5,375.0,375.0,1,0.02
310,12.540000000000001,12.540000000000001,370.0,370.0,1,0.02
312,12.58,12.58,403.0,403.0,1,0.02
314,12.620000000000001,12.620000000000001,187.0,187.0,1,0.02
316,12.66,12.66,523.0,523.0,1,0.02
318,12.700000000000001,12.700000000000001,283.0,283.0,1,0.02
320,12.74,12.74,337.0,337.0,1,0.02
322,13.88,13.9,6.0,5.5,2,0.03999999999999958
324,17.240000000000002,17.240000000000002,46.0,46.0,1,0.02
326,17.42,17.42,18.0,18.0,1,0.02
328,18.580000000000002,18.580000000000002,13.0,13.0,1,0.02
330,19.34,19.34,507.0,507.0,1,0.02
332,19.38,19.38,327.0,327.0,1,0.02
334,19.42,19.42,405.0,405.0,1,0.02
336,19.46,19.46,273.0,273.0,1,0.02
338,19.5,19.5,263.0,263.0,1,0.02
340,19.54,19.54,73.0,73.0,1,0.02
342,19.62,19.62,147.0,147.0,1,0.02
344,19.72,19.72,40.0,40.0,1,0.02
346,19.76,19.76,105.0,105.0,1,0.02
348,19.82,19.84,117.0,65.0,2,0.03999999999999958
350,19.88,19.88,483.0,483.0,1,0.02
352,19.92,19.92,151.0,151.0,1,0.02
354,19.96,19.96,227.0,227.0,1,0.02
356,20.0,20.0,218.0,218.0,1,0.02
358,20.44,20.44,246.0,246.0,1,0.02
360,20.48,20.48,501.0,501.0,1,0.02
362,20.52,20.52,391.0,391.0,1,0.02
364,20.56,20.56,390.0,390.0,1,0.02
366,24.44,24.44,2.0,2.0,1,0.02
368,27.580000000000002,27.580000000000002,3.0,3.0,1,0.02
370,31.48,31.48,1.0,1.0,1,0.02
372,34.84,34.84,11.0,11.0,1,0.02
374,36.04,36.04,4.0,4.0,1,0.02
376,36.300000000000004,36.300000000000004,73.0,73.0,1,0.02
378,36.62,36.64,445.0,364.0,2,0.04000000000000313
380,36.78,36.78,495.0,495.0,1,0.02
382,40.18,40.18,20.0,20.0,1,0.02
384,41.42,41.42,438.0,438.0,1,0.02
386,41.46,41.46,505.0,505.0,1,0.02
388,41.5,41.5,463.0,463.0,1,0.02
390,41.54,41.54,616.0,616.0,1,0.02
392,41.58,41.58,503.0,503.0,1,0.02
394,41.62,41.62,667.0,667.0,1,0.02
396,41.660000000000004,41.660000000000004,552.0,552.0,1,0.02
398,41.7,41.7,505.0,505.0,1,0.02
400,41.74,41.74,583.0,583.0,1,0.02
402,41.78,41.78,537.0,537.0,1,0.02
404,41.82,41.82,508.0,508.0,1,0.02
406,41.86,41.86,557.0,557.0,1,0.02
408,41.9,41.9,501.0,501.0,1,0.02
410,41.94,41.94,539.0,539.0,1,0.02
412,41.980000000000004,41.980000000000004,573.0,573.0,1,0.02
414,42.02,42.02,539.0,539.0,1,0.02
416,42.06,42.06,572.0,572.0,1,0.02
418,42.1,42.1,567.0,567.0,1,0.02
420,42.14,42.14,687.0,687.0,1,0.02
422,42.18,42.18,555.0,555.0,1,0.02
424,42.22,42.22,563.0,563.0,1,0.02
426,42.26,42.26,495.0,495.0,1,0.02
428,42.300000000000004,42.300000000000004,556.0,556.0,1,0.02
430,42.34,42.34,677.0,677.0,1,0.02
432,42.38,42.38,555.0,555.0,1,0.02
434,42.42,42.42,530.0,530.0,1,0.02
436,42.46,42.46,612.0,612.0,1,0.02
438,42.5,42.5,585.0,585.0,1,0.02
440,42.54,42.54,5.0,5.0,1,0.02
442,45.0,45.0,28.0,28.0,1,0.02
444,45.36,45.42,777.0,353.25,4,0.08000000000000228
